 written on 22Nov2021 at 17:14:40 
          14
          21
    4    2    4    4    2    4    4    2    4    2    1    2    4    2    4
    4    2    4    4    2    4
   -1   -1    1    6    3   -0.298457    0.000000
   -1   -1    1    7    3    0.019956    0.000000
   -1   -1    1    8    3    0.021316   -0.000000
   -1   -1    1    9    3    0.243512   -0.000002
   -1   -1    1   10    3   -0.036208   -0.000000
   -1   -1    1   11    3    0.016047   -0.000000
   -1   -1    1   12    3   -0.043402    0.000000
   -1   -1    1   13    3   -0.000001   -0.000000
   -1   -1    1   14    3   -0.002596   -0.000000
   -1   -1    1    1    4   -0.036254    0.000002
   -1   -1    1    2    4   -0.019357   -0.000000
   -1   -1    1    3    4    0.063975    0.000002
   -1   -1    1    4    4   -0.072566    0.000000
   -1   -1    1    5    4   -0.166485    0.000000
   -1   -1    1    6    4    0.077832   -0.000000
   -1   -1    1    7    4    0.045735   -0.000000
   -1   -1    1    8    4    0.046706   -0.000000
   -1   -1    1    9    4   -0.015680    0.000003
   -1   -1    1   10    4    0.111714   -0.000001
   -1   -1    1   11    4    0.083501   -0.000001
   -1   -1    1   12    4    0.050818    0.000000
   -1   -1    1   13    4    0.122455    0.000000
   -1   -1    1   14    4    0.071120   -0.000000
   -1   -1    1    1    5    0.045692   -0.000000
   -1   -1    1    2    5    0.045731    0.000000
   -1   -1    1    3    5    0.019954   -0.000000
   -1   -1    1    4    5   -0.166485   -0.000000
   -1   -1    1    5    5   -0.072566    0.000000
   -1   -1    1    6    5    0.063975    0.000003
   -1   -1    1    7    5   -0.019357    0.000001
   -1   -1    1    8    5   -0.036254    0.000004
   -1   -1    1    9    5    0.007645   -0.000002
   -1   -1    1   10    5   -0.019798   -0.000004
   -1   -1    1   11    5   -0.011507    0.000001
   -1   -1    1   12    5   -0.015680   -0.000008
   -1   -1    1   13    5   -0.111714    0.000001
   -1   -1    1   14    5   -0.083501    0.000000
   -1   -1    1    1    6    0.078205   -0.000000
   -1   -1    1    2    6    0.077832    0.000000
   -1   -1    1    3    6   -0.298457   -0.000000
   -1   -1    1    4    6    0.077832    0.000000
   -1   -1    1    5    6    0.063975   -0.000003
   -1   -1    1    6    6   -0.026471    0.000000
   -1   -1    1    7    6   -0.114974   -0.000001
   -1   -1    1    8    6    0.064203    0.000001
   -1   -1    1    9    6    0.018075    0.000001
   -1   -1    1   10    6    0.000001   -0.000001
   -1   -1    1   11    6   -0.000613   -0.000009
   -1   -1    1   12    6    0.243512    0.000002
   -1   -1    1   13    6    0.036208    0.000000
   -1   -1    1   14    6   -0.016047    0.000000
   -1   -1    1    1    7    0.045694   -0.000000
   -1   -1    1    2    7   -0.166489   -0.000000
   -1   -1    1    3    7    0.019956   -0.000000
   -1   -1    1    4    7    0.045735    0.000000
   -1   -1    1    5    7   -0.019357   -0.000001
   -1   -1    1    6    7   -0.114974    0.000001
   -1   -1    1    7    7    0.093010    0.000000
   -1   -1    1    8    7   -0.019332    0.000003
   -1   -1    1    9    7    0.007646   -0.000003
   -1   -1    1   10    7    0.019799    0.000002
   -1   -1    1   11    7   -0.011501   -0.000004
   -1   -1    1   12    7    0.030385   -0.000005
   -1   -1    1   13    7   -0.042522    0.000000
   -1   -1    1   14    7    0.025519   -0.000001
   -1   -1    1    1    8   -0.165600    0.000000
   -1   -1    1    2    8    0.046704    0.000000
   -1   -1    1    3    8    0.021316    0.000000
   -1   -1    1    4    8    0.046706    0.000000
   -1   -1    1    5    8   -0.036254   -0.000004
   -1   -1    1    6    8    0.064203   -0.000001
   -1   -1    1    7    8   -0.019332   -0.000003
   -1   -1    1    8    8   -0.072809    0.000000
   -1   -1    1    9    8    0.008538   -0.000006
   -1   -1    1   10    8   -0.000001    0.000003
   -1   -1    1   11    8    0.022750    0.000000
   -1   -1    1   12    8   -0.021000   -0.000002
   -1   -1    1   13    8    0.016150   -0.000000
   -1   -1    1   14    8    0.138148    0.000003
   -1   -1    1    1    9   -0.021000   -0.000006
   -1   -1    1    2    9    0.030385   -0.000005
   -1   -1    1    3    9    0.243512    0.000002
   -1   -1    1    4    9   -0.015680   -0.000003
   -1   -1    1    5    9    0.007645    0.000002
   -1   -1    1    6    9    0.018075   -0.000001
   -1   -1    1    7    9    0.007646    0.000003
   -1   -1    1    8    9    0.008538    0.000006
   -1   -1    1    9    9   -0.065563    0.000000
   -1   -1    1   10    9    0.015558    0.000000
   -1   -1    1   11    9   -0.006893   -0.000000
   -1   -1    1   12    9    0.067160    0.000000
   -1   -1    1   13    9   -0.000000   -0.000000
   -1   -1    1   14    9    0.000781   -0.000000
   -1   -1    1    1   10   -0.016150   -0.000000
   -1   -1    1    2   10    0.042522   -0.000000
   -1   -1    1    3   10   -0.036208    0.000000
   -1   -1    1    4   10    0.111714    0.000001
   -1   -1    1    5   10   -0.019798    0.000004
   -1   -1    1    6   10    0.000001    0.000001
   -1   -1    1    7   10    0.019799   -0.000002
   -1   -1    1    8   10   -0.000001   -0.000003
   -1   -1    1    9   10    0.015558   -0.000000
   -1   -1    1   10   10   -0.002067    0.000000
   -1   -1    1   11   10    0.016326   -0.000000
   -1   -1    1   12   10    0.000001   -0.000000
   -1   -1    1   13   10   -0.024344   -0.000000
   -1   -1    1   14   10   -0.000000    0.000000
   -1   -1    1    1   11   -0.138148    0.000000
   -1   -1    1    2   11   -0.025519    0.000000
   -1   -1    1    3   11    0.016047    0.000000
   -1   -1    1    4   11    0.083501    0.000001
   -1   -1    1    5   11   -0.011507   -0.000001
   -1   -1    1    6   11   -0.000613    0.000009
   -1   -1    1    7   11   -0.011501    0.000004
   -1   -1    1    8   11    0.022750   -0.000000
   -1   -1    1    9   11   -0.006893    0.000000
   -1   -1    1   10   11    0.016326    0.000000
   -1   -1    1   11   11    0.018262    0.000000
   -1   -1    1   12   11   -0.000982    0.000000
   -1   -1    1   13   11   -0.000000    0.000000
   -1   -1    1   14   11   -0.024261   -0.000000
   -1   -1    1    1   12    0.055916    0.000000
   -1   -1    1    2   12    0.050816   -0.000000
   -1   -1    1    3   12   -0.043402   -0.000000
   -1   -1    1    4   12    0.050818   -0.000000
   -1   -1    1    5   12   -0.015680    0.000008
   -1   -1    1    6   12    0.243512   -0.000002
   -1   -1    1    7   12    0.030385    0.000005
   -1   -1    1    8   12   -0.021000    0.000002
   -1   -1    1    9   12    0.067160   -0.000000
   -1   -1    1   10   12    0.000001    0.000000
   -1   -1    1   11   12   -0.000982   -0.000000
   -1   -1    1   12   12   -0.065563    0.000000
   -1   -1    1   13   12   -0.015558   -0.000000
   -1   -1    1   14   12    0.006893   -0.000000
   -1   -1    1    1   13    0.000001    0.000000
   -1   -1    1    2   13   -0.122440   -0.000000
